#z(m) u(m/s) V(1/s) T(K) rho(kg/m3) N2 H H2 O OH O2 H2O2 H2O HO2 CO CH3 CH2O CO2 CH4 C2H2 C2H4 CH2CO C2H6 C CH HCO TXCH2 SXCH2 C2H3 C2H5 HCCO CH3CHO CH2CHO C2H5O
0.007279947916666666 1.1767398073327242 0.0 518.647061380947 0.6659022831319753 0.7143687714231901 6.981214839462716e-09 0.0007168350918584205 8.201858925616545e-09 2.211191471917059e-07 0.2042850077009065 3.425256585864989e-06 0.009608928285063765 0.00019220755352902653 0.00826169891380891 4.330812075131617e-05 0.0005468229220281859 0.002041052196335097 0.0003731163455453087 0.0001520778594779709 0.05869413969072041 4.226672290862873e-05 0.0005550864618256668 8.641878411604834e-21 1.6016186417097332e-15 4.3499033721967115e-08 5.61261075918428e-10 3.5078957239131364e-11 1.9919867898429228e-09 4.399600986707823e-06 1.0783355262329107e-07 0.00010271431324999581 4.605335880618359e-06 3.1459912239722516e-06
0.0072812499999999995 1.1895877800850136 0.0 524.1929966733427 0.6587103007329888 0.7143195776106582 8.159005564209105e-09 0.0007223107810447348 9.626076212978116e-09 2.586657456331345e-07 0.20389902386241596 3.5214048264844827e-06 0.009834404722477012 0.0001977905792596485 0.008495791329018561 4.4902071547642795e-05 0.0005655454542497794 0.002114724067366965 0.00038236616516667475 0.0001572920784599714 0.058522200580570394 4.4010734397749963e-05 0.0005760264746111688 1.409963017917476e-20 2.2486429035821255e-15 4.913809442848304e-08 6.730947539522712e-10 4.238945241964145e-11 2.415573862841997e-09 5.0523646879527e-06 1.1644672622790637e-07 0.00010677837577595434 5.1565118171296414e-06 3.079675624012992e-06
0.007281901041666666 1.1960951675642941 0.0 527.0011941032919 0.6551265698783072 0.7142950218229123 8.81836306130235e-09 0.0007250583112731775 1.0427412543077727e-08 2.797562821399407e-07 0.2037025608562219 3.5702892683548246e-06 0.009948685153318431 0.00020062266070364302 0.008614996367282466 4.572222965365784e-05 0.0005750863856868101 0.0021524376781143243 0.000387059969372819 0.0001599580844277582 0.05843432745082188 4.490653748418732e-05 0.0005867437794974303 1.805874456937466e-20 2.6654800870094804e-15 5.222042636466785e-08 7.371231922783485e-10 4.65964928519716e-11 2.660696377161185e-09 5.410048332941988e-06 1.2100713549444752e-07 0.00010886198762462925 5.454038182111898e-06 3.0406864094974033e-06
0.007282552083333333 1.202658077732862 0.0 529.832928620246 0.651551541447098 0.7142705428104221 9.52675795992165e-09 0.0007278073782684414 1.129133965596509e-08 3.02469777955579e-07 0.20350410080977152 3.6196310460835473e-06 0.010063799073186998 0.0002034766435899262 0.008735449809244452 4.655668833960373e-05 0.0005847307557206173 0.002190681190553685 0.0003917918201102817 0.0001626593617653124 0.05834531846948784 4.581698603082183e-05 0.000597609709605179 2.3072817139632308e-20 3.156152659598387e-15 5.548388039205145e-08 8.069365679821897e-10 5.120137687244082e-11 2.929921638232039e-09 5.789141030119325e-06 1.2573535291666783e-07 0.00011097699910851279 5.76640924550845e-06 2.998028869924697e-06
0.007283203124999999 1.209276540777416 0.0 532.6882019247018 0.6479855500074684 0.7142461444914584 1.0287526366941997e-08 0.0007305579244449785 1.2222316217797236e-08 3.269190689371311e-07 0.2033036365390929 3.6694278894477736e-06 0.010179745597184355 0.00020635208758382656 0.00885715707335894 4.740561493478476e-05 0.0005944775549877917 0.0022294589960322603 0.00039656169496503466 0.00016539617471110935 0.058255166241309574 4.67422343730941e-05 0.00060862479997949 2.942948732432384e-20 3.733796650183438e-15 5.893864274602399e-08 8.830198387447956e-10 5.6239701595796436e-11 3.2255244726228058e-09 6.190616550006461e-06 1.306370249377114e-07 0.00011312363150391388 6.0942154938515114e-06 2.9519252903369693e-06
0.007283854166666666 1.2159505814582054 0.0 535.5670132852374 0.6444289236270689 0.7142218307856788 1.1104206807701954e-08 0.0007333098928960609 1.3225076577389315e-08 3.532232605080072e-07 0.20310116100281098 3.71967723844385e-06 0.010296523790865974 0.00020924853479024745 0.008980123511766188 4.826917777202122e-05 0.0006043256771588336 0.002268775479625339 0.00040136956692789043 0.00016816878691939313 0.05816386345942834 4.7682437122002754e-05 0.0006197895352479411 3.748478649807873e-20 4.413414083679538e-15 6.259544826868996e-08 9.658933004280751e-10 6.174938216819342e-11 3.549968038328871e-09 6.615472328955992e-06 1.3571796168912342e-07 0.00011530209736642893 6.438062653354348e-06 2.9026182869043186e-06
0.0072845052083333325 1.2226802190955912 0.0 538.4693595330764 0.6408819838259804 0.7141976056143223 1.1980551157277042e-08 0.0007360632274027056 1.4304643800639019e-08 3.81507937705527e-07 0.20289666730326986 3.7703762327740557e-06 0.010414132671260417 0.00021216551005372828 0.009104354409926331 4.9147546972480786e-05 0.0006142739182294979 0.0023086350198370667 0.00040621540436785986 0.00017097746145411906 0.058071402909405226 4.8637749151329406e-05 0.000631104347713623 4.768267140437207e-20 5.212355376068749e-15 6.64656116359531e-08 1.0561145944795651e-09 6.7771119958819e-11 3.9059197822799934e-09 7.064728583910031e-06 1.4098414014125433e-07 0.00011751259994984052 6.798571637129642e-06 2.850367929920922e-06
0.007285156249999999 1.229465467556066 0.0 541.395235056299 0.6373450455361213 0.7141734729005011 1.2920536054045549e-08 0.0007388178724423647 1.546634317353921e-08 4.119053663384249e-07 0.20269014868762697 3.82152170125568e-06 0.010532571207868676 0.0002151025212999795 0.009229854986261095 5.004089529819432e-05 0.0006243209760223398 0.002349041988307528 0.00041109917100333904 0.00017382246078382282 0.057977777473313126 4.960832558445725e-05 0.0006425696154345883 6.057784246742626e-20 6.150743734341992e-15 7.056105903168637e-08 1.1542808720053677e-09 7.434864605596832e-11 4.296267576024277e-09 7.539427307095474e-06 1.4644170721401307e-07 0.00011975533262580341 7.176378465680861e-06 2.7954485751719067e-06
0.0072858072916666666 1.2363063352378325 0.0 544.3446317937274 0.6338184170670081 0.7141494365695883 1.392837480370385e-08 0.0007415737731974048 1.6715816140561865e-08 4.4455468382388474e-07 0.2024815985489118 3.87311015117611e-06 0.01065183832363884 0.00021805905991910092 0.009356630391801584 5.094939906185656e-05 0.0006344654498779891 0.0023900007495256067 0.00041602082587085984 0.00017670404677740722 0.05788298013389685 5.0594321780696344e-05 0.0006541856602919683 7.686327748534976e-20 7.251918864706299e-15 7.489436040617384e-08 1.2610310418925522e-09 8.152891762436923e-11 4.724136271113505e-09 8.040631136343416e-06 1.5209698284223731e-07 0.00012203047830543581 7.572134159462222e-06 2.7381454660864796e-06
0.007286458333333333 1.2432028250557356 0.0 547.3175392284925 0.6303024000777029 0.7141255005496698 1.500852978124269e-08 0.0007443308755632919 1.8059034656051248e-08 4.796020782401168e-07 0.2022710104270567 3.925137757618301e-06 0.010771932895915447 0.00022103460119057627 0.009484685709839537 5.187323908209823e-05 0.0006447058405119865 0.002431515660547462 0.00042098032329105126 0.000179622480700822 0.05778700397879295 5.15958933210327e-05 0.0006659527460490584 9.740389144118187e-20 8.542930112212075e-15 7.947876241694624e-08 1.3770480877216587e-09 8.936230777337363e-11 5.192904831494824e-09 8.569422097005073e-06 1.5795646299009318e-07 0.00012433820886353865 7.986504602388876e-06 2.678751178487075e-06
0.007287109375 1.2501549344258762 0.0 550.3139443813823 0.6267972895546934 0.7141016687720536 1.6165725337342646e-08 0.0007470891261565277 1.9502315933575487e-08 5.172009540781687e-07 0.2020583780098787 3.977600352784044e-06 0.01089285375736312 0.00022402860475003827 0.00961402595558344 5.281260167137567e-05 0.0006550405500105318 0.002473591070720635 0.0004259776128316335 0.0001825780232146834 0.05768984220480325 5.261319599322636e-05 0.0006778710764038071 1.2327786183674034e-19 1.0055094489187052e-14 8.432822211484226e-08 1.5030614506839105e-09 9.7902798203253e-11 5.7062241465365e-09 9.126900211781734e-06 1.6402682260928452e-07 0.00012667868456582888 8.420170375263118e-06 2.617561986979283e-06
0.007287760416666667 1.2571626552497877 0.0 553.3338318039389 0.6233033737955985 0.7140779451718077 1.7404961214513112e-08 0.0007498484723222734 2.105233758316363e-08 5.575120831319473e-07 0.20184369513401432 4.0304934153414925e-06 0.011014599696859988 0.00022704051509750262 0.009744656075814937 5.3767679642992745e-05 0.0006654678819365024 0.002516231321412967 0.00043101263926696693 0.000185570934372743 0.057591488122215796 5.364638577613652e-05 0.0006899407930365725 1.5582740084031152e-19 1.1824630923140524e-14 8.945744140779287e-08 1.6398494780872094e-09 1.0720817662828764e-10 6.26803559361582e-09 9.714181975141865e-06 1.703149185358711e-07 0.00012905205349914213 8.873826558127972e-06 2.554874236642429e-06
0.007288411458333334 1.2642259738981785 0.0 556.3771835713825 0.6198209343984769 0.7140543336883086 1.873152647737771e-08 0.0007526088621416544 2.27161531301031e-08 6.007037389416721e-07 0.20162695578580395 4.083812059826673e-06 0.011137169460360532 0.00023006976214665103 0.009876580948545788 5.473867332369771e-05 0.0006759860415174126 0.0025594407457461728 0.0004360853425339513 0.0001886014736212479 0.05749193515916431 5.469561882318926e-05 0.0007021619736554679 1.9672109086925017e-19 1.3893381416208124e-14 9.488190231016052e-08 1.7882419372248347e-09 1.1734023926128575e-10 6.882590396425218e-09 1.0332398689441977e-05 1.768277923210208e-07 0.0001314584510043247 9.348182500636528e-06 2.490980805300198e-06
0.0072890625 1.2713448711945174 0.0 559.4439792754447 0.6163502462564922 0.7140308382657874 2.0151013960763827e-08 0.0007553702444387105 2.4501207911957608e-08 6.469518132022737e-07 0.2014081541021045 4.137551026129697e-06 0.011260561751727528 0.00023311576181448223 0.010009805382675268 5.5725791558750606e-05 0.000686593135888168 0.0026032236683344633 0.00044119565768394476 0.00019166989979918918 0.057391176866014255 5.576105144488524e-05 0.0007145346300413387 2.480303244213349e-19 1.630963038200318e-14 1.0061790296536236e-07 1.9491225941765827e-09 1.28364998220373e-10 7.554469809860445e-09 1.0982694660341945e-05 1.8357267299136993e-07 0.00013389799911132298 9.843961559585113e-06 2.4261677400336793e-06
0.007289713541666667 1.278519322398221 0.0 562.5341960170729 0.6128915775578545 0.7140074628538401 2.1669335238699332e-08 0.0007581325687869927 2.6415355353021792e-08 6.964399125655565e-07 0.20118728437104172 4.1917046690963194e-06 0.011384775233528497 0.00023617791665028726 0.010144334117644413 5.6729252697308755e-05 0.000697287174363947 0.002647584405026733 0.0004463435148303004 0.00019477647113937685 0.05728920691977333 5.684284009021388e-05 0.0007270587060940926 3.123229074405022e-19 1.9129034476230794e-14 1.066825944132988e-07 2.1234318569113754e-09 1.4035289359880987e-10 8.28860615181489e-09 1.166622524960804e-05 1.905569797348594e-07 0.00013637080597577464 1.036190080280516e-05 2.3607111466670343e-06
0.007290364583333334 1.2857492971877222 0.0 565.647808399105 0.6094451897907753 0.7139842114078926 2.329273611723264e-08 0.0007608957855157641 2.8466873618004812e-08 7.49359434309509e-07 0.200964341032687 4.246266948278214e-06 0.011509808527798045 0.00023925561650275421 0.010280171823087304 5.774928554753165e-05 0.0007080660687230801 0.00269252726265304 0.00045152883909127653 0.00019792144527037015 0.05718601912851187 5.794114132687189e-05 0.0007397340758823377 3.92777510438376e-19 2.2415676529793825e-14 1.1309401806168158e-07 2.312169481967279e-09 1.5337900989419313e-10 9.09030469482383e-09 1.238415478399225e-05 1.9778832450860428e-07 0.0001388769653164882 1.0902750678693125e-05 2.294874402785566e-06
0.007291015625 1.2930347596432517 0.0 568.7847885189169 0.6060113377532959 0.7139610878896087 2.5027812653990992e-08 0.000763659845715754 3.066448264924115e-08 8.059096194144701e-07 0.20073931867965433 4.301231417865494e-06 0.011635660216762479 0.00024234823922360705 0.010417323098478098 5.878613029274718e-05 0.0007189276334849613 0.0027380565387745497 0.0004567515505279393 0.00020110507921923196 0.057081607435784304 5.9056111820157244e-05 0.0007525605416979959 4.933234000666777e-19 2.62432586564678e-14 1.1987114381050994e-07 2.5163973439945042e-09 1.6752329647041161e-10 9.96526642520001e-09 1.3137654319481074e-05 2.0527451456568447e-07 0.0001414165558532358 1.1467274650713265e-05 2.228905753729252e-06
0.007291666666666667 1.3003756682294683 0.0 571.9451059610705 0.6025902695678125 0.7139380962672199 2.6881527707694833e-08 0.0007664247012445356 3.3017361594424326e-08 8.662975816788139e-07 0.2005122120576136 4.3565912168362005e-06 0.011762328843527618 0.0002454551514059518 0.010555792472772595 5.98400393623742e-05 0.0007298695861745213 0.002784176521436868 0.00046201156407677245 0.00020432762941509702 0.05697596592504647 6.01879083104076e-05 0.0007655378321174287 6.1881077723689405e-19 3.0696451225865644e-14 1.2703390877186426e-07 2.7372422675787546e-09 1.8287079171358791e-10 1.0919611673565602e-08 1.392789926087731e-05 2.1302355489834235e-07 0.00014398964074455392 1.2056248796284909e-05 2.163036337391384e-06
